Ecriture;Date de valeur;Texte de l'écriture;Débit;Crédit;Solde USD;
24.01.2022;26.01.2022;" ACHAT 7 UNITS UBS (LUX) FD SOL SICAV/MSCI|WORLD SOC RESP UCITS ETF/-A-/DI ";981.76;;101.47;
19.01.2022;21.01.2022;" ACHAT 36 UNITS XTRACKERS (IE) PLC/MSCI WORLD|MIN.VOLATIL.UCITS ETF/-1C-/US ";1'455.59;;1'083.23;
18.01.2022;20.01.2022;ACHAT 12 UNITS SSGA SPDR ETFS EUROPE II PLC|SPDR MSCI WORLD CONSUMER DIS.U;853.54;;2'538.82;
18.01.2022;20.01.2022;" ACHAT 4 UNITS AMUNDI INDEX SOLUTIONS SICAV|NASDAQ-100/-UCITS ETF-/CAP. ";693.31;;3'392.36;
18.01.2022;20.01.2022;" ACHAT 2 UNITS MULTI UNITS FRANCE SICAV/LYXOR|RUSSELL 1000 GROWTH UCITS ET ";706.13;;4'085.67;
18.01.2022;20.01.2022;ACHAT 10 UNITS SSGA SPDR ETFS EUROPE II PLC|SPDR S&P US TECH SELE SEC UCIT;851.12;;4'791.80;
17.01.2022;19.01.2022;" ACHAT 32 UNITS WISDOMTREE ISSUER ICAV/GLB|QUALITY DIV GROWTH UCITS ETF/USD ";1'171.00;;5'642.92;
10.01.2022;10.01.2022;REPORT BPS220421702300 EUR 6 000.00 1.1186800;;6'712.08;6'813.92;
10.01.2022;07.01.2022;CREDIT COUPONS 4 UNITS GLOBAL X LITHIUM & BATTERY|TECH ETF;;0.41;101.84;
05.01.2022;05.01.2022;CREDIT COUPONS 24 UNITS ISHARES MSCI RUSSIA ETF;;1.05;101.43;
05.01.2022;04.01.2022;CREDIT COUPONS 13 UNIT SCHWAB INTERNATIONAL EQUITY ETF;;0.43;100.38;
31.12.2021;30.12.2021;CREDIT COUPONS 47 UNITS ISHARES CURRENCY HEDGED|MSCI EUROZONE ETF;;15.16;99.95;
31.12.2021;30.12.2021;" CREDIT COUPONS 2 UNITS VANGUARD TOTAL STOCK MARKET|INDEX FUND/ETF ";;1.20;84.79;
28.12.2021;28.12.2021;CREDIT COUPONS 9 UNITS SPDR S&P EMERGING MARKETS|SMALL CAP ETF;;7.52;83.59;
23.12.2021;23.12.2021;CREDIT COUPONS 1 UNITS SPDR S&P SEMICONDUCTOR ETF;;0.07;76.07;
20.12.2021;17.12.2021;CREDIT COUPONS 29 UNIT ISHARES ROBOTICS AND ARTIFICIAL|INTELLIGENCE MULTISECTOR ETF;;18.51;76.00;
17.12.2021;17.12.2021;CREDIT COUPONS 24 UNITS ISHARES MSCI RUSSIA ETF;;27.52;57.49;
14.12.2021;13.12.2021;CREDIT COUPONS 13 UNIT SCHWAB INTERNATIONAL EQUITY ETF;;7.76;29.97;
03.12.2021;07.12.2021;ACHAT 24 UNITS ISHARES MSCI RUSSIA ETF;1'121.16;;22.21;
02.12.2021;06.12.2021;ACHAT 6 UNITS PROSHARES ULTRA TECHNOLOGY;711.50;;1'143.37;
02.12.2021;06.12.2021;ACHAT 47 UNITS ISHARES CURRENCY HEDGED|MSCI EUROZONE ETF;1'748.30;;1'854.87;
02.12.2021;06.12.2021;ACHAT 29 UNIT ISHARES ROBOTICS AND ARTIFICIAL|INTELLIGENCE MULTISECTOR ETF;1'271.53;;3'603.17;
26.11.2021;26.11.2021;REPORT BPS213783424500 CHF 2 501.02 0.9422790;;2'654.22;4'874.70;
24.11.2021;24.11.2021;REPORT BPS213764493500 EUR 2 000.00 1.1102410;;2'220.48;2'220.48;